| ABSTR_RAW                      | ABSTR_TOK                      | ABSTR_UPPER                    | AFFIL                                                                            |           ART_NO | AUTHID                                                                       | AUTHKW_NORM                    | AUTHKW_RAW                     | AUTHKW_TOK                     | AUTH_FIRST            | AUTH_FULL_NAME                 | AUTH_NORM                      | AUTH_RAW                       | AUTH_WITH_AFFIL                                                                  | CAS_REG_NO             | CODEN   | CONCEPT_NORM                   | CONCEPT_RAW                    |   CONF_CODE | CONF_DATE                      | CONF_LOC        | CONF_NAME                      | CORRESPOND_ADDR                | CTRY                          | CTRY_FIRST    | CTRY_ISO3          | CTRY_ISO3_FIRST   | DATABASE   | DOCTYPE          | DOI                            | EDITOR                         | EID                 | FUND_DET                       |   FUND_SPONS | FUND_TXT                       | GCR_FREE_TEXT                  |   GCR_WOS_FORMAT_RAW |   GCS | IDXKW_NORM                     | IDXKW_RAW                      | IDXKW_TOK                      | ISBN                           | ISSN     |   ISSUE | KW_NORM                        | KW_TOK                         | LANG    |   LCS |   MANUFACTURER | NP_ABSTR_RAW                   | NP_GENSIM                      | NP_KNOWN                       | NP_RAW                         | NP_SPACY                       | NP_TEXTBLOB                    | NP_TITLE_RAW                   | NP_YAKE                        |   N_AUTH |   N_GCR |   N_LCR | OA                             | ORG                                                                             | ORG_FIRST                      |   PG_FIRST | PG_LAST   | PUBLISHER                      |        PUBMED | PUBSTAGE         | REC_ID                                             |   REC_NO | REC_SHORT_NAME                 | REGION                 | SCOPUS_LINK                    | SRC                            | SRC_ISO4                       | SUBREGION                      | TITLE_RAW                      | TITLE_TOK                      | TITLE_UPPER                    |   TRADENAME |   VOL |   YEAR |
| Establishing a sustainable dev | establishing a sustainable dev | ESTABLISHING a SUSTAINABLE_DEV | Key Laboratory of Sustainable Forest Ecosystem Management, Ministry of Education |    nan           | 58556839600; 57214940041; 56101483500                                        | ahp method; entropy weight met | ahp method; entropy weight met | ahp method; entropy weight met | LI H                  | Hongying Li; Lingbo Dong; Zhao | LI H; DONG L; LIU Z            | LI H; DONG L; LIU Z            | LI H., Key Laboratory of Sustainable Forest Ecosystem Management, Ministry of Ed | nan                    | nan     | 23 indicators; ahp method; are | 23 indicators; ahp method; are |         nan | nan                            | nan             | nan                            | Z. LIU; Key Laboratory of Sust | China                         | China         | CHN                | CHN               | Scopus     | Article          | 10.3969/j.issn.1006-8023.2023. | nan                            | 2-s2.0-85169303816  | nan                            |          nan | nan                            | LIU X L., Monitoring and asses |                  nan |     3 | nan                            | nan                            | nan                            | nan                            | 10068023 |       1 | ahp method; entropy weight met | ahp method; entropy weight met | Chinese |     0 |            nan | establishing; sustainable deve | a; a; able; able; an important | analyze; current; current situ | 23 indicators; ahp method; are | 23 indicators; ahp; ahp method | ahp method; comprehensive deve | prediction; sustainable develo | based on system dynamics; deve |        3 |       0 |       0 | nan                            | NORTHEAST FOR UNIV                                                              | NORTHEAST FOR UNIV             |         11 | 20        | Department of Journal of Fores | nan           | Final            | LI H, 2023, ENG, V39, P11, DOI 10.3969/j.issn.1006 |       25 | LI H, 2023, ENG                | Asia                   | https://www.scopus.com/pages/p | FOREST ENGINEERING             | ENG                            | Eastern Asia                   | Prediction of Sustainable Deve | prediction of sustainable deve | PREDICTION of SUSTAINABLE_DEVE |         nan |    39 |   2023 |
| Background: Making a smart and | background : making a smart an | background : MAKING a SMART_AN | Department of Business Management, Semnan Branch, Islamic Azad University, Semna |    nan           | 58805543200; 57207685578; 56175610400; 58804612900                           | flexibility; health industry;  | flexibility; health industry;  | flexibility; health industry;  | Hosseinkhani M        | Masoud Hosseinkhani; Seyed Abd | Hosseinkhani M; Heydariyeh SA; | Hosseinkhani M; Heydariyeh SA; | Hosseinkhani M., Department of Business Management, Semnan Branch, Islamic Azad  | nan                    | nan     | average smart supply chain fle | average smart supply chain fle |         nan | nan                            | nan             | nan                            | S.A. Heydariyeh; Department of | Iran                          | Iran          | IRN                | IRN               | Scopus     | Article          | 10.18502/htaa.v7i2.13816       | nan                            | 2-s2.0-85181944341  | nan                            |          nan | nan                            | Schluter FF; Hetterscheid E; H |                  nan |     0 | nan                            | nan                            | nan                            | nan                            | 26453835 |       2 | flexibility; health industry;  | flexibility; health industry;  | English |     0 |            nan | making; smart and digital supp | a; a; able; aims to; are; as;  | chain; chain; current; digital | average smart supply chain fle | background; basis; conclusions | average smart; chain flexibili | flexibility; smart supply chai | dynamics approach; factor in o |        4 |       0 |       0 | All Open Access; Gold Open Acc | ISLAM AZAD UNIV                                                                 | ISLAM AZAD UNIV                |        nan | nan       | Tehran University of Medical S | nan           | Final            | Hosseinkhani M, 2023, HEAL TECHNOL ASSESS ACTION,  |       26 | Hosseinkhani M, 2023, HEAL TEC | Asia                   | https://www.scopus.com/pages/p | HEALTH TECHNOLOGY ASSESSMENT I | HEAL TECHNOL ASSESS ACTION     | Southern Asia                  | Simulating Flexibility of the  | simulating flexibility of the  | simulating FLEXIBILITY of the  |         nan |     7 |   2023 |
| Digital Twins (DTs) are virtua | digital twins ( dts ) are virt | DIGITAL_TWINS ( DTS ) are VIRT | Policy Dynamics Inc., Kitchener, ON, Canada; OP Jindal Global University, Haryan |    nan           | 57079535600; 36918658100; 59772590900; 59772591000                           | digital twins; dt; mealworm fa | digital twins; dt; mealworm fa | digital twins; dt; mealworm fa | Taylor IW             | Ivan W. Taylor; Saroj Koul; Fr | Taylor IW; Koul S; Araujo F; C | Taylor IW; Koul S; Araujo F; C | Taylor I.W., Policy Dynamics Inc., Kitchener, ON, Canada; Koul S., OP Jindal Glo | nan                    | nan     | application; balanced operatio | application; balanced operatio |         nan | nan                            | nan             | nan                            | S. Koul; OP Jindal Global Univ | Canada; India; Mexico; United | Canada        | CAN; IND; MEX; USA | CAN               | Scopus     | Article          | 10.1080/17477778.2025.2492682  | nan                            | 2-s2.0-105004275021 | nan                            |          nan | nan                            | Anderson A.M.; Van der Merwe A |                  nan |     1 | market research; resource allo | market research; resource allo | market research; resource allo | nan                            | 17477778 |     nan | causal loop diagrams; decision | causal loop diagrams; decision | English |     0 |            nan | digital twins; dts; virtual mo | a; a; able; also; are; as; as; | behavior; causal loop; causal  | application; balanced operatio | application; balanced operatio | cost organic feed; cost struct | system dynamics; digital twin  | application for mealworm farmi |        4 |       0 |       0 | nan                            | LLC; OP JINDAL GLOB UNIV; POLIC DYN INC; [UNKNOWN]                              | POLIC DYN INC                  |        nan | nan       | Taylor and Francis Ltd.        | nan           | Article in press | Taylor IW, 2025, J SIMUL, DOI 10.1080/17477778.202 |       27 | Taylor IW, 2025, J SIMUL       | Americas; Asia         | https://www.scopus.com/pages/p | JOURNAL OF SIMULATION          | J SIMUL                        | Latin America and The Caribbea | A system dynamics-based digita | a system dynamics based digita | a SYSTEM_DYNAMICS based DIGITA |         nan |   nan |   2025 |
| The highland is the habitat of | the highland is the habitat of | the HIGHLAND is the HABITAT of | Facultad de Ingeniería, Universidad Nacional Micaela Bastidas de Apurímac, Peru; |    nan           | 57226167139; 58767386700                                                     | competition; domesticated anim | competition; domesticated anim | competition; domesticated anim | Quispe D              | Diana Quispe; Jesús Quispe     | Quispe D; Quispe J             | Quispe D; Quispe J             | Quispe D., Facultad de Ingeniería, Universidad Nacional Micaela Bastidas de Apur | nan                    | nan     | 10 years; ancient times; camel | 10 years; ancient times; camel |         nan | nan                            | nan             | nan                            | nan                            | Peru                          | Peru          | PER                | PER               | Scopus     | Article          | 10.21704/rea.v22i2.2087        | nan                            | 2-s2.0-85193472875  | nan                            |          nan | nan                            | Aracil J., Dinámica de sistema |                  nan |     0 | nan                            | nan                            | nan                            | nan                            | 17262216 |       2 | competition; domesticated anim | competition; domesticated anim | Spanish |     0 |            nan | highland; habitat; camelids; s | 10 years; a; a; able; analyze; | analyze; animal; animals; beha | 10 years; ancient times; camel | 10 years; ancient times; barba | ancient times; departamento ac | model; vicuna sheep interactio | camelid with a fine; entre vic |        2 |       0 |       0 | All Open Access; Gold Open Acc | UNIV NAC DEL ALTIPLANO; UNIV NAC MICAELA BASTIDAS APURÍMAC                      | UNIV NAC MICAELA BASTIDAS APUR |        113 | 121       | Universidad Nacional Agraria L | nan           | Final            | Quispe D, 2023, ECOL APL, V22, P113, DOI 10.21704/ |       28 | Quispe D, 2023, ECOL APL       | Americas               | https://www.scopus.com/pages/p | ECOLOGIA APLICADA              | ECOL APL                       | Latin America and The Caribbea | MODEL OF VICUÑA-SHEEP INTERACT | model of vicuna sheep interact | MODEL of VICUNA_SHEEP_INTERACT |         nan |    22 |   2023 |
| [Purpose/ significance] This s | [ purpose/ significance ] this | [ purpose/ significance ] this | nan                                                                              |    nan           | nan                                                                          | big data thinking; competitive | big data thinking; competitive | big data thinking; competitive | nan                   | nan                            | nan                            | nan                            | nan                                                                              | nan                    | nan     | application rate; big data tec | application rate; big data tec |         nan | nan                            | nan             | nan                            | nan                            | nan                           | nan           | nan                | nan               | Scopus     | Article          | 10.16353/j.cnki.1000-7490.2022 | nan                            | 2-s2.0-85179733431  | nan                            |          nan | nan                            | 38, 6, (2015); 36, 6, (2016);  |                  nan |     4 | nan                            | nan                            | nan                            | nan                            | 10007490 |       2 | big data thinking; competitive | big data thinking; competitive | Chinese |     0 |            nan | construction; competitive inte | a; a; are; as; as; based on; b | big data; big data; big data t | application rate; big data tec | all; and micro enterprises; ap | application rate; big data; bi | simulation study; competitive  | and micro enterprises; big dat |        0 |       0 |       0 | nan                            | nan                                                                             | nan                            |        103 | 110       | Information studies: Theory an | nan           | Final            | [Anonymous], 2022, STUD THEORY APPL, V45, P103, DO |       29 | nan, 2022, STUD THEORY APPL    | nan                    | https://www.scopus.com/pages/p | INFORMATION STUDIES: THEORY AN | STUD THEORY APPL               | nan                            | Simulation Study of Competitiv | simulation study of competitiv | SIMULATION_STUDY of COMPETITIV |         nan |    45 |   2022 |
| The integrated crop–livestock  | the integrated croplivestock f | the INTEGRATED croplivestock f | College of Biological and Agricultural Engineering, Jilin University, Changchun, |    254           | 57219961334; 60546935700; 57219908159; 24329291200                           | integrated crop-livestock syst | integrated crop–livestock syst | integrated crop-livestock syst | Xia Y                 | Yujie Xia; Xiaoyu Lv; Shuang X | Xia Y; Lv X; Xu S; Guo H/1     | Xia Y; Lv X; Xu S; Guo H/1     | Xia Y., College of Biological and Agricultural Engineering, Jilin University, Ch | nan                    | nan     | 25 million; 7250 thousand hect | 25 million; 7250 thousand hect |         nan | nan                            | nan             | nan                            | S. Xu; College of Biological a | China                         | China         | CHN                | CHN               | Scopus     | Article          | 10.3390/systems14030254        | nan                            | 2-s2.0-105034362507 | China Scholarship Council, CSC |          nan | This research was funded by Ch | Rampa A.; Gadanakis Y.; Rose G |                  nan |     0 | agricultural economics; agricu | agricultural economics; agricu | agricultural economics; agricu | nan                            | 20798954 |       3 | agricultural economics; agricu | agricultural economics; agricu | English |     0 |            nan | integrated; model; resource ut | a; a; able; achieve; also; are | benefits; cattle; crop product | 25 million; 7250 thousand hect | 25 million; 7250 thousand hect | agricultural structure; aquacu | simulation; structural optimiz | comprehensive system dynamics  |        4 |       0 |       0 | All Open Access; Gold Open Acc | JILIN UNIV                                                                      | JILIN UNIV                     |        nan | nan       | Multidisciplinary Digital Publ | nan           | Final            | Xia Y, 2026, SYST, V14, DOI 10.3390/systems1403025 |       30 | Xia Y, 2026, SYST              | Asia                   | https://www.scopus.com/pages/p | SYSTEMS                        | SYST                           | Eastern Asia                   | Research on Simulation and Str | research on simulation and str | research_on SIMULATION and STR |         nan |    14 |   2026 |
| Incentive policies for prefabr | incentive policies for prefabr | INCENTIVE_POLICIES_FOR_PREFABR | School of Civil Engineering, Shenyang Jianzhu University, Shenyang, 110168, Chin |   5627           | 58778411700; 57217132794; 57469248700                                        | dynamic simulation; government | dynamic simulation; government | dynamic simulation; government | Guo C                 | Chunbing Guo; Weidong Yan; Zhe | Guo C; Yan W; Guo Z/1          | Guo C; Yan W; Guo Z/1          | Guo C., School of Civil Engineering, Shenyang Jianzhu University, Shenyang, 1101 | nan                    | nan     | 50 variables; academia; analyt | 50 variables; academia; analyt |         nan | nan                            | nan             | nan                            | W. Yan; School of Civil Engine | China                         | China         | CHN                | CHN               | Scopus     | Article          | 10.3390/app15105627            | nan                            | 2-s2.0-105006770970 | National Natural Science Found |          nan | This research was funded by th | Huang L.Z.; Krigsvoll G.; Joha |                  nan |     1 | architectural design; prestres | architectural design; prestres | architectural design; prestres | nan                            | 20763417 |      10 | architectural design; dynamic  | architectural design; dynamic  | English |     0 |            nan | incentive policies for prefabr | a; a; able; affect; also; anal | actors; affect; analysis metho | 50 variables; academia; analyt | 50 variables; academia; analyt | analytical framework; carbon r | implementation effect; incenti | attracting increasing attentio |        3 |       0 |       0 | All Open Access; Gold Open Acc | CENT SOUTH UNIV; SHENYANG JIANZHU UNIV                                          | SHENYANG JIANZHU UNIV          |        nan | nan       | Multidisciplinary Digital Publ | nan           | Final            | Guo C, 2025, APPL SCI, V15, DOI 10.3390/app1510562 |       31 | Guo C, 2025, APPL SCI          | Asia                   | https://www.scopus.com/pages/p | APPLIED SCIENCES (SWITZERLAND) | APPL SCI                       | Eastern Asia                   | Research on the Implementation | research on the implementation | research_on the IMPLEMENTATION |         nan |    15 |   2025 |
| The paper addresses the develo | the paper addresses the develo | the_paper_addresses the_develo | University of Maribor, Cybernetics and Decision Support Systems Laboratory, Facu |  12084           | 8530587400; 35590589400; 56415082500; 41262564400; 7003903082                | nan                            | nan                            | nan                            | Škraba A              | A. Škraba; B. Vavtar; V. Stano | Škraba A; Vavtar B; Stanovov V | Škraba A; Vavtar B; Stanovov V | Škraba A., University of Maribor, Cybernetics and Decision Support Systems Labor | nan                    | nan     | austria; bass diffusion model; | austria; bass diffusion model; |      167160 | 20 November 2020 through 21 No | Krasnoyarsk     | 3rd International Conference o | A. Škraba; University of Marib | Montenegro; Russia; Slovenia  | Slovenia      | MNE; RUS; SVN      | SVN               | Scopus     | Conference paper | 10.1088/1757-899X/1047/1/01208 | Kovalev I.V.; Siberian Federal | 2-s2.0-85101558925  | Javna Agencija za Raziskovalno |          nan | This work was supported by the | Wang W; Fergola P; Lombardo S; |                  nan |     3 | nan                            | nan                            | nan                            | nan                            | 17578981 |       1 | nan                            | nan                            | English |     0 |            nan | parameterization; bass diffusi | a; a; able; address; are; as;  | algorithm; austria; bass diffu | austria; bass diffusion model; | accuracy; austria; bass diffus | accuracy; available databases; | parametrization; bass diffusio | addresses the development; bas |        5 |       0 |       0 | All Open Access; Gold Open Acc | RESHETNEV SIB STATE UNIV SCI TECHNOL; UNIV MARIBOR; UNIV MONTEN                 | UNIV MARIBOR                   |        nan | nan       | IOP Publishing Ltd             | nan           | Final            | Škraba A, 2021, IOP CONF SER MATER SCI ENG, V1047, |       32 | Škraba A, 2021, IOP CONF SER M | Europe                 | https://www.scopus.com/pages/p | IOP CONFERENCE SERIES: MATERIA | IOP CONF SER MATER SCI ENG     | Eastern Europe; Southern Europ | Parametrization of bass diffus | parametrization of bass diffus | PARAMETRIZATION of BASS_DIFFUS |         nan |  1047 |   2021 |
| In view of the problem of incr | in view of the problem of incr | in view of the_problem_of incr | State Key Laboratory of Mechanical Transmission, Chongqing University, Chongqing |    nan           | 57924910100; 57543496200; 57925253800; 7202792218; 7403346275; 24333797700   | collaborative quality value; i | collaborative quality value; i | collaborative quality value; i | Xu M                  | Mengyu Xu; Qian Yi; Yuzhong Sh | Xu M; Yi Q; Shan Y; Xiong S; C | Xu M; Yi Q; Shan Y; Xiong S; C | Xu M., State Key Laboratory of Mechanical Transmission, Chongqing University, Ch | nan                    | CHHKA   | 34 key influencing factors; ba | 34 key influencing factors; ba |         nan | nan                            | nan             | nan                            | Q. Yi; State Key Laboratory of | China                         | China         | CHN                | CHN               | Scopus     | Article          | 10.3901/JME.2022.12.270        | nan                            | 2-s2.0-85139723887  | nan                            |          nan | nan                            | Promote energy transformation  |                  nan |     5 | construction equipment; dynami | construction equipment; dynami | construction equipment; dynami | nan                            | 05776686 |      12 | collaborative quality value; c | collaborative quality value; c | Chinese |     0 |            nan | collaborative management cost; | a; a; analyze; analyzed; are;  | actors; analyze; behavior; cha | 34 key influencing factors; ba | 34 key influencing factors; ba | chinese journal; collaborative | collaborative quality value mo | based on system dynamic; colla |        6 |       0 |       0 | All Open Access; Gold Open Acc | CHINA GUANGDONG NUCL ENG CO LTD; CHONGQING UNIV                                 | CHONGQING UNIV                 |        270 | 282       | Chinese Mechanical Engineering | nan           | Final            | Xu M, 2022, JIXIE GONGCHENG XUEBAO, V58, P270, DOI |       33 | Xu M, 2022, JIXIE GONGCHENG XU | Asia                   | https://www.scopus.com/pages/p | JIXIE GONGCHENG XUEBAO/JOURNAL | JIXIE GONGCHENG XUEBAO         | Eastern Asia                   | Collaborative Quality Value Mo | collaborative quality value mo | COLLABORATIVE_QUALITY_VALUE_MO |         nan |    58 |   2022 |
| It is unquestionable that heal | it is unquestionable that heal | it is unquestionable that HEAL | Department of Management, Faculty of Economic, Management and Social Science, Sh | 121010           | 58509242600; 57445597300; 57216317046; 56675830700; 36008663700              | anp; dynamic expert system; he | anp; dynamic expert system; he | anp; dynamic expert system; he | Nazarian-Jashnabadi J | Javad Nazarian-Jashnabadi; Sha | Nazarian-Jashnabadi J; Rahnama | Nazarian-Jashnabadi J; Rahnama | Nazarian-Jashnabadi J., Department of Management, Faculty of Economic, Managemen | nan                    | ESAPE   | action; analytic network; anal | action; analytic network; anal |         nan | nan                            | nan             | nan                            | H. Tomaskova; Faculty of Infor | Czechia; Iran; Mexico         | Iran          | CZE; IRN; MEX      | IRN               | Scopus     | Article          | 10.1016/j.eswa.2023.121010     | nan                            | 2-s2.0-85166024530  | nan                            |          nan | nan                            | Abdellah F.G.; Levine E., Deve |                  nan |    37 | cell proliferation; integrated | cell proliferation; integrated | cell proliferation; integrated | nan                            | 09574174 |     nan | analytic network; analytic net | analytic network; analytic net | English |     0 |            nan | health; issue; life; human bei | a; a; able; affect; are; as; a | affect; analytic; analytic net | action; analytic network proce | accuracy; action; analytic; an | analytic network process; anp  | dynamic expert system; patient | anp methods; approach of syste |        5 |       0 |       0 | nan                            | ESC ING CIENC; SHIRAZ UNIV; UNIV HRADEC KRALOVE; URMIA UNIV TECHNOL             | SHIRAZ UNIV                    |        nan | nan       | Elsevier Ltd                   | nan           | Final            | Nazarian-Jashnabadi J, 2023, EXPERT SYS APPL, V234 |       34 | Nazarian-Jashnabadi J, 2023, E | Americas; Asia; Europe | https://www.scopus.com/pages/p | EXPERT SYSTEMS WITH APPLICATIO | EXPERT SYS APPL                | Eastern Europe; Latin America  | A dynamic expert system to inc | a dynamic expert system to inc | a DYNAMIC_EXPERT_SYSTEM to_inc |         nan |   234 |   2023 |
| The potential for pollution of | the potential for pollution of | the POTENTIAL for POLLUTION of | Master Program of Agricultural of Water Resources Management, Postgraduate, Univ |    nan           | 57212241821; 57208468531; 57194828121                                        | pollution load capacity; susta | pollution load capacity; susta | pollution load capacity; susta | Pradana HA            | Hendra Andiananta Pradana; Eli | Pradana HA; Novita E; Purnomo  | Pradana HA; Novita E; Purnomo  | Pradana H.A., Master Program of Agricultural of Water Resources Management, Post | nan                    | nan     | 10 years; agricultural cultiva | 10 years; agricultural cultiva |         nan | nan                            | nan             | nan                            | B.H. Purnomo; Faculty of Agric | Indonesia                     | Indonesia     | IDN                | IDN               | Scopus     | Article          | 10.15243/jdmlm.2022.092.3317   | nan                            | 2-s2.0-85123285300  | Indonesian Ministry of Higher  |          nan | This work was funded by the In | Arhin S.G.; Banadda N.; Komake |                  nan |     4 | nan                            | nan                            | nan                            | nan                            | 2339076X |       2 | pollution load capacity; susta | pollution load capacity; susta | English |     0 |            nan | potential; pollution; rivers;  | 10 years; a; a; alternative; a | areas; banks; best management  | 10 years; agricultural cultiva | 10 years; agricultural cultiva | agricultural cultivation; alte | simulation; water quality mana | bedadung river; bedadung river |        3 |       0 |       0 | All Open Access; Gold Open Acc | UNIV JEMBER                                                                     | UNIV JEMBER                    |       3317 | 3327      | Brawijaya University           | nan           | Final            | Pradana HA, 2022, J DEGRADED MIN LANDS MANAG, V9,  |       35 | Pradana HA, 2022, J DEGRADED M | Asia                   | https://www.scopus.com/pages/p | JOURNAL OF DEGRADED AND MINING | J DEGRADED MIN LANDS MANAG     | South-Eastern Asia             | Simulation for water quality m | simulation for water quality m | SIMULATION for WATER_QUALITY_M |         nan |     9 |   2022 |
| The process of creating a simu | the process of creating a simu | the_process_of creating a SIMU | Universidad Politécnica de Cartagena, Cartagena, Spain; ESADE Business School, B |    nan           | 24536768900; 58374793100; 59665006300                                        | artificial intelligence; chatg | artificial intelligence; chatg | artificial intelligence; chatg | Campuzano-Bolarín F   | Francisco Campuzano-Bolarín; D | Campuzano-Bolarín F; López-Lóp | Campuzano-Bolarín F; López-Lóp | Campuzano-Bolarín F., Universidad Politécnica de Cartagena, Cartagena, Spain; Ló | nan                    | nan     | advanced ai tools; artificial  | advanced ai tools; artificial  |         nan | nan                            | nan             | nan                            | F. Campuzano-Bolarín; Universi | Spain                         | Spain         | ESP                | ESP               | Scopus     | Book chapter     | 10.1007/978-3-032-10126-6_32   | nan                            | 2-s2.0-105026954298 | nan                            |          nan | nan                            | Jay F., Industrial Dynamics, ( |                  nan |     0 | natural language processing sy | natural language processing sy | natural language processing sy | nan                            | 23674512 |     nan | artificial intelligence; chatg | artificial intelligence; chatg | English |     0 |            nan | simulation model; system dynam | a; a; able; able; as; be; been | chatgpt; chatgpt; complex; con | advanced ai tools; chatgpt; co | advanced ai tools; advent; ai; | ai tools; complete vensim mode | natural language; executable m | chatgpt writes a system; creat |        3 |       0 |       0 | nan                            | ESADE BUS SCH; UNIV POLITÉCNICA CARTAGENA; [UNKNOWN]                            | UNIV POLITÉCNICA CARTAGENA     |        199 | 204       | Springer Science and Business  | nan           | Final            | Campuzano-Bolarín F, 2025, LECT NOTES DATA ENG COM |       36 | Campuzano-Bolarín F, 2025, LEC | Europe                 | https://www.scopus.com/pages/p | LECTURE NOTES ON DATA ENGINEER | LECT NOTES DATA ENG COMMUN TEC | Southern Europe                | From Natural Language to Execu | from natural language to execu | from NATURAL_LANGUAGE to EXECU |         nan |   276 |   2025 |
| Sugarcane cultivation is one o | sugarcane cultivation is one o | SUGARCANE_CULTIVATION is_one_o | Faculty of Engineering, Logistic and Production Research Group, Dayhanna Stephan |    nan           | 57679312500; 58146422600; 34267748700; 36807319600                           | land use; soil improvement; su | land use; soil improvement; su | land use; soil improvement; su | Vargas-Mesa DS        | Dayhanna Stephanía Vargas-Mesa | Vargas-Mesa DS; Torres-Lozada  | Vargas-Mesa DS; Torres-Lozada  | Vargas-Mesa D.S., Faculty of Engineering, Logistic and Production Research Group | nan                    | nan     | actions; bagasse; behavior; ca | actions; bagasse; behavior; ca |         nan | nan                            | nan             | nan                            | J.C. Osorio-Gómez; Faculty of  | Colombia                      | Colombia      | COL                | COL               | Scopus     | Book chapter     | 10.1007/978-3-030-69314-5_16   | nan                            | 2-s2.0-85150316347  | nan                            |          nan | nan                            | Abbasi M.K.; Khizar A., Microb |                  nan |     1 | nan                            | nan                            | nan                            | 978-303069314-5; 978-303069313 | nan      |     nan | land use; soil improvement; su | land use; soil improvement; su | English |     0 |            nan | sugarcane cultivation; crops;  | a; a; able; affect; agricultur | affect; agricultural product;  | actions; bagasse; behavior; ca | actions; bagasse; behavior; ca | agricultural production; compl | dynamic study; soil improvemen | colombia; complex systems; cro |        4 |       0 |       0 | nan                            | FUND UNIV UNISANGIL; UNIV DEL VAL                                               | UNIV DEL VAL                   |        351 | 370       | Springer International Publish | nan           | Final            | Vargas-Mesa DS, 2021, TECH TOOLS METHODOL APPL QUA |       37 | Vargas-Mesa DS, 2021, TECH TOO | Americas               | https://www.scopus.com/pages/p | TECHNIQUES, TOOLS AND METHODOL | TECH TOOLS METHODOL APPL QUAL  | Latin America and The Caribbea | Dynamic study of soil improvem | dynamic study of soil improvem | DYNAMIC_STUDY of SOIL_IMPROVEM |         nan |   nan |   2021 |
| The management of large-scale  | the management of large scale  | the MANAGEMENT of large SCALE_ | Faculty of Agricultural Engineering and Technology, Department of Irrigation and |    nan           | 57188962106; 8631076400; 55557650500; 55355679500                            | big karun basin; integrated wa | big karun basin; integrated wa | big karun basin; integrated wa | Abdi-Dehkordi M       | Mehri Abdi-Dehkordi; Omid Bozo | Abdi-Dehkordi M; Bozorg-Haddad | Abdi-Dehkordi M; Bozorg-Haddad | Abdi-Dehkordi M., Faculty of Agricultural Engineering and Technology, Department | nan                    | EDSNB   | account; agricultural developm | account; agricultural developm |         nan | nan                            | nan             | nan                            | O. Bozorg-Haddad; Faculty of A | Iran; United States           | Iran          | IRN; USA           | IRN               | Scopus     | Article          | 10.1007/s10668-021-01340-0     | nan                            | 2-s2.0-85103212926  | Iran National Science Foundati |          nan | The authors thank Iran’s Natio | Ahmad S.; Prashar D., Evaluati |                  nan |    13 | iran; assessment method; decis | iran; assessment method; decis | iran; assessment method; decis | nan                            | 1387585X |      11 | assessment method; big karun b | assessment method; big karun b | English |     0 |            nan | management; scale water resour | a; a; able; account; are; as;  | agriculture; basin; behavior;  | account; agricultural developm | account; agricultural developm | agricultural development proje | developing; sustainability ass | assessment framework for integ |        4 |       0 |       0 | nan                            | MAHAB GHODSS CONSULT ENG CO; UNIV SOUTH CAROL; UNIV TEHRAN                      | UNIV TEHRAN                    |      16246 | 16282     | Springer Science and Business  | nan           | Final            | Abdi-Dehkordi M, 2021, ENV DEV SUSTAIN, V23, P1624 |       38 | Abdi-Dehkordi M, 2021, ENV DEV | Americas; Asia         | https://www.scopus.com/pages/p | ENVIRONMENT, DEVELOPMENT AND S | ENV DEV SUSTAIN                | Northern America; Southern Asi | Developing a sustainability as | developing a sustainability as | DEVELOPING a SUSTAINABILITY_AS |         nan |    23 |   2021 |
| This paper investigates effici | this paper investigates effici | this_paper_investigates EFFICI | The George Washington University, Department of Engineering Management and Syste |      9.48372e+06 | 57244979300; 57245168200; 57245351100; 57244979400                           | homelessness; policy; simulati | homelessness; policy; simulati | homelessness; policy; simulati | Norris G              | Gareth Norris; Anya Qureshi; K | Norris G; Qureshi A; Russo K;  | Norris G; Qureshi A; Russo K;  | Norris G., The George Washington University, Department of Engineering Managemen | nan                    | nan     | 2 years; aid; annual reports;  | 2 years; aid; annual reports;  |      171095 | 30 April 2021                  | Virtual, Online | 2021 IEEE Systems and Informat | nan                            | United States                 | United States | USA                | USA               | Scopus     | Conference paper | 10.1109/SIEDS52267.2021.948372 | nan                            | 2-s2.0-85114213744  | nan                            |          nan | nan                            | Fowler P.J.; Hovmand P.S.; Mar |                  nan |     1 | computer software; decision ma | computer software; decision ma | computer software; decision ma | 978-166541250-6                | nan      |     nan | computer software; decision ma | computer software; decision ma | English |     0 |            nan | efficiency improvement opportu | a; a; able; addition; addition | affect; analysis model; areas; | 2 years; aid; annual reports;  | 2 years; analysis; analyzing h | annual reports; client flow; d | homeless service systems; loca | analyzing homeless; analyzing  |        4 |       0 |       0 | nan                            | GEORGE WASHINGT UNIV                                                            | GEORGE WASHINGT UNIV           |        nan | nan       | Institute of Electrical and El | nan           | Final            | Norris G, 2021, IEEE SYST ENG DES SYMP SIEDS, DOI  |       39 | Norris G, 2021, IEEE SYST ENG  | Americas               | https://www.scopus.com/pages/p | 2021 IEEE SYSTEMS AND INFORMAT | IEEE SYST ENG DES SYMP SIEDS   | Northern America               | Analyzing Homeless Service Sys | analyzing homeless service sys | analyzing HOMELESS_SERVICE_SYS |         nan |   nan |   2021 |
